id,user,uid,version,changeset,timestamp
9926333,Huw Waters,327578,8,8772503,2011-07-19T21:32:36Z
9926343,Eriks Zelenka,41362,4,1948641,2009-07-26T20:23:28Z
9926439,Huw Waters,327578,5,8304902,2011-05-31T19:46:22Z
9926522,gbp,241161,23,40158393,2016-06-20T14:23:19Z
9926539,JonBritton,48155,11,10684780,2012-02-14T16:54:37Z
10223723,Huw Waters,327578,10,8772503,2011-07-19T21:21:36Z
10223732,Mauls,24119,7,17477231,2013-08-23T22:55:40Z
10223787,Huw Waters,327578,5,8772503,2011-07-19T21:21:36Z
10223853,Huw Waters,327578,5,8304902,2011-05-31T19:48:50Z
10223895,RobJN,411244,9,37554690,2016-03-01T20:54:07Z
10223930,Huw Waters,327578,6,8304902,2011-05-31T19:48:50Z
10224170,woodiwiss,6435413,8,52106670,2017-09-16T23:31:36Z
10224433,Huw Waters,327578,9,8772503,2011-07-19T21:11:32Z
10224452,Huw Waters,327578,6,8772503,2011-07-19T21:11:33Z
10224483,elliott,13461,4,4337726,2010-04-05T19:57:03Z
10224521,elliott,13461,3,4337726,2010-04-05T19:56:30Z
10224695,JonBritton,48155,15,10741326,2012-02-20T14:58:06Z
10224837,elliott,13461,11,2872593,2009-10-17T12:01:00Z
10226360,RobJN,411244,8,37554690,2016-03-01T20:54:07Z
10226572,JonBritton,48155,10,10741326,2012-02-20T14:58:07Z
10227806,JonBritton,48155,15,10745647,2012-02-20T22:12:00Z
